year,n_per_tow
1983,10
1983,2
1983,4
1983,46
1983,6
1983,6
1983,6
1983,4
1983,2
1983,4
1983,0
1983,14
1983,10
1983,6
1983,6
1983,2
1983,2
1983,6
1983,2
1983,4
1983,6
1983,4
1983,14
1983,30
1983,8
1983,4
1983,2
1983,2
1983,2
1983,2
1983,4
1983,22
1983,14
1983,62
1983,16
1983,2
1983,216
1983,98
1983,34
1983,22
1983,4
1983,2
1983,58
1983,87
1983,324
1983,164
1983,64
1983,86
1983,74
1983,108
1983,136
1983,46
1983,68
1983,30
1983,14
1983,46
1983,42
1983,86
1983,172
1983,38
1983,20
1983,60
1983,1698
1983,258
1983,132
1983,692
1983,30
1983,204
1983,164
1983,436
1983,180
1983,234
1983,194
1983,84
1983,134
1983,188
1983,14
1983,26
1983,6
1983,12
1983,10
1983,14
1983,20
1983,4
1983,18
1983,0
1983,0
1983,18
1983,14
1983,4
1983,0
1983,12
1983,8
1983,16
1983,16
1983,24
1983,6
1983,0
1983,4
1983,32
1983,16
1983,26
1983,10
1983,6
1983,72
1983,14
1983,4
1983,12
1983,14
1983,44
1983,2
1983,6
1983,12
1983,6
1983,0
1983,2
1983,56
1983,10
1983,22
1983,2
1983,6
1983,18
1983,8
1983,14
1983,34
1983,6
1983,12
1983,18
1983,22
1983,24
1983,0
1983,14
1983,2
1983,42
1983,2267
1983,430
1983,0
1983,4
1983,102
1983,28
1983,8
1983,12
1983,64
1983,1
1983,2
1983,2
1983,6
1983,7
1983,10
1983,42
1983,30
1983,2
1983,12
1983,132
1983,30
1983,10
1983,40
1983,4
1983,7
1983,0
1983,15
1983,27
1983,35
1983,10
1983,8
1983,14
1983,22
1983,0
1983,6
1983,18
1983,6
1983,6
1983,56
1983,32
1983,94
1983,84
1983,118
1983,26
1983,76
1983,261
1983,12
1983,16
1983,22
1983,18
1983,46
1983,50
1983,10
1983,18
1983,34
1983,16
1983,24
1983,4
1983,20
1983,2
1983,30
1983,22
1983,10
1983,2
1983,2
1983,42
1983,26
1983,4
1983,2
1983,2
1983,0
1983,0
1983,8
1983,6
1983,2
1983,2
1983,2
1983,0
1983,0
1983,7
1983,40
1983,1
1983,22
1983,34
1983,40
1983,6
1983,6
1983,215
1983,24
1983,25
1983,42
1983,22
1983,8
1983,4
1983,5
1983,7
1983,5
1983,18
1983,0
1983,9
1983,5
1983,12
1983,16
1983,5
1983,9
1983,31
1983,38
1983,45
1983,80
1983,15
1983,38
1983,5
1983,65
1983,18
1983,1
1983,3
1983,1
1983,17
1983,21
1983,76
1983,2
1983,53
1983,3
1983,38
1983,20
1983,8
1983,6
1983,7
1983,4
1983,23
1983,4
1983,17
1983,5
1983,12
1983,54
1983,70
1983,0
1983,26
1983,30
1983,42
1983,6
1983,32
1983,32
1983,24
1983,20
1983,12
1983,8
1983,14
1983,4
1983,6
1983,14
1983,56
1983,22
1983,134
1983,48
1983,62
1983,106
1983,516
1983,12
1983,20
1983,282
1983,10
1983,10
1983,2
1983,84
1983,1412
1983,38
1983,14
1983,14
1983,172
1983,42
1983,16
1983,8
1983,4
1983,24
1983,28
1983,0
1983,6
1983,4
1983,14
1983,16
1983,14
1983,230
1983,4
1983,12
1983,4
1983,30
1983,72
1983,208
1983,16
1983,110
1983,0
1983,4
1983,2
1983,40
1983,6
1983,2
1983,2
1983,6
1983,2
1983,0
1983,24
1983,2
1983,6
1983,94
1983,50
1983,6
1983,2
1983,2
1983,6
1983,0
1983,2
1983,18
1983,40
1983,48
1983,52
1983,60
1983,59
1983,12
1983,58
1983,10
1983,24
1983,6
1983,28
1983,4
1983,16
1983,80
1983,108
1983,10
1983,26
1983,20
1983,10
1983,14
1983,12
1983,40
1983,16
1983,10
1983,4
1983,4
1983,12
1983,28
1983,34
1983,18
1983,2
1983,2
1983,12
1984,8
1984,14
1984,0
1984,0
1984,2
1984,18
1984,4
1984,14
1984,6
1984,4
1984,2
1984,0
1984,0
1984,12
1984,2
1984,10
1984,22
1984,12
1984,4
1984,4
1984,20
1984,36
1984,52
1984,10
1984,2
1984,16
1984,28
1984,4
1984,14
1984,188
1984,16
1984,22
1984,12
1984,18
1984,8
1984,4
1984,44
1984,16
1984,10
1984,0
1984,2
1984,4
1984,6
1984,0
1984,0
1984,6
1984,2
1984,6
1984,6
1984,12
1984,38
1984,18
1984,26
1984,4
1984,22
1984,18
1984,8
1984,10
1984,0
1984,2
1984,42
1984,10
1984,8
1984,32
1984,2
1984,0
1984,8
1984,12
1984,2
1984,4
1984,68
1984,0
1984,2
1984,2
1984,2
1984,14
1984,0
1984,0
1984,0
1984,30
1984,8
1984,10
1984,2
1984,4
1984,0
1984,16
1984,6
1984,8
1984,2
1984,2
1984,2
1984,4
1984,0
1984,2
1984,6
1984,8
1984,2
1984,100
1984,46
1984,88
1984,20
1984,18
1984,68
1984,14
1984,120
1984,154
1984,26
1984,12
1984,122
1984,84
1984,30
1984,34
1984,72
1984,12
1984,28
1984,40
1984,30
1984,92
1984,164
1984,378
1984,228
1984,284
1984,332
1984,256
1984,42
1984,358
1984,198
1984,442
1984,86
1984,506
1984,142
1984,188
1984,0
1984,48
1984,8
1984,6
1984,42
1984,0
1984,12
1984,20
1984,16
1984,6
1984,24
1984,12
1984,22
1984,8
1984,4
1984,18
1984,6
1984,14
1984,2
1984,22
1984,0
1984,16
1984,10
1984,4
1984,6
1984,8
1984,4
1984,4
1984,64
1984,8
1984,8
1984,28
1984,26
1984,18
1984,30
1984,4
1984,196
1984,36
1984,58
1984,8
1984,16
1984,14
1984,8
1984,2
1984,6
1984,2
1984,2
1984,16
1984,14
1984,182
1984,150
1984,68
1984,78
1984,184
1984,79
1984,26
1984,180
1984,164
1984,15
1984,84
1984,176
1984,24
1984,226
1984,18
1984,8
